LOCATION,TIME,Value,GDP_PER_CAP
CHL,2010,62.632930806055654,18129.08799
CHL,2011,64.75724401245958,19043.07561
CHL,2012,66.40548915058983,19846.000219999998
CHL,2013,69.52475614683333,20426.68397
CHL,2014,68.10825837174607,20558.51611
CHL,2015,69.45132186868472,20789.15587
CHL,2016,73.45116614470828,20867.0832
CHL,2017,73.39945932500832,20854.69351
CHL,2018,74.69657332727152,21407.89059
CHN,1990,16.456430859945545,1481.852726
CHN,1991,20.432109210370253,1598.279696
CHN,1992,22.17928740501004,1804.6302600000001
CHN,1993,24.56981006486003,2031.8380769999999
CHN,1994,26.97567254473234,2271.173313
CHN,1995,29.096215165903505,2493.515917
CHN,1996,28.72007081050725,2712.540825
CHN,1997,32.823928446899075,2933.445875
CHN,1998,35.50502504062238,3134.82217
CHN,1999,36.01988572934556,3347.49546
CHN,2000,37.0638532291428,3604.2764439999996
CHN,2001,37.15424693092595,3877.674028
CHN,2002,37.60028039294567,4204.634935
CHN,2003,38.62812684151598,4598.986366
CHN,2004,38.99987000077547,5034.465428
CHN,2005,40.79594155631726,5575.1821820000005
CHN,2006,41.59691846894983,6251.316157
CHN,2007,40.42578266202648,7104.126468
CHN,2008,43.05552083295047,7750.246022
CHN,2009,44.87746148466139,8437.500859
CHN,2010,46.1768059140954,9290.279906
CHN,2011,46.1802407706174,10127.85272
CHN,2012,48.44583557933877,10869.60224
CHN,2013,49.7088357400971,11655.41005
CHN,2014,50.15773249098833,12440.74324
CHN,2015,49.253628727531684,13233.389809999999
CHN,2016,49.23510303631083,14040.024769999998
CHN,2017,48.96458325406157,14915.246509999999
CHN,2018,48.9361149467184,15839.26195
COL,1990,26.037441129707172,7451.533931
COL,1991,26.625796607769935,7505.320547
COL,1992,25.1248612272744,7677.644567
COL,1993,25.943541168184616,7963.494084999999
COL,1994,27.746119451117575,8262.472596
COL,1995,29.73394467989842,8558.897423999999
COL,1996,27.77052126470104,8558.720187
COL,1997,26.792364196704014,8702.367076
COL,1998,27.477895438182408,8632.341574
COL,1999,26.626240344660893,8071.695243000001
COL,2000,27.039971299496994,8163.037187999999
COL,2001,27.792679902512724,8194.668968
COL,2002,28.234021908733666,8295.12388
COL,2003,28.023334804240708,8513.030023000001
COL,2004,29.21827926247363,8857.069682
COL,2005,31.41233144315446,9161.469409000001
COL,2006,33.58009072453293,9665.962298
COL,2007,34.86251706994961,10205.46128
COL,2008,35.88544187576596,10413.58381
COL,2009,34.79814366661808,10415.46815
COL,2010,36.80415165992879,10741.53563
COL,2011,37.88842010129744,11398.38353
COL,2012,40.842818346713116,11706.681770000001
COL,2013,42.020452970828245,12101.21794
COL,2014,43.83977829904069,12529.63478
COL,2015,45.50314817951676,12755.05835
COL,2016,46.45150494443007,12875.91302
COL,2017,47.35765414503308,12905.91138
COL,2018,49.51526004058131,13093.35343
GBR,1990,5.6659868240274e-06,26316.69604
GBR,1991,5.6505602504329e-06,25939.30722
GBR,1992,5.635317914894799e-06,25969.53869
GBR,1993,5.620075311437601e-06,26566.10683
GBR,1994,5.6044919380162e-06,27530.24796
GBR,1995,5.588295666582e-06,28126.964289999996
GBR,1996,5.571150861349e-06,28771.11358
GBR,1997,5.553015850621099e-06,29929.117619999997
GBR,1998,5.5342103189177e-06,30843.975360000004
GBR,1999,5.5152007785012e-06,31721.87722
GBR,2000,48.38724798032592,32704.80441
GBR,2001,59.05245692008592,33504.691119999996
GBR,2002,59.984728466447855,34195.86074
GBR,2003,60.69857773069611,35177.23588
GBR,2004,61.30585299257829,35815.151289999994
GBR,2005,61.737222830916075,36659.74467
GBR,2006,60.60985936947674,37337.99279
GBR,2007,59.81809230750861,37981.220089999995
GBR,2008,56.959643317608666,37540.687000000005
GBR,2009,56.08500035593643,35694.1797
GBR,2010,57.61641957152366,36016.322660000005
GBR,2011,56.85777466764749,36305.00964
GBR,2012,56.068627669645196,36587.54656
GBR,2013,55.86064015558413,37102.70953
GBR,2014,56.24993134944661,37906.00509
GBR,2015,59.37402442828726,38490.78686
GBR,2016,61.05727212421214,38858.39333
GBR,2017,59.43902065556387,39331.89358
GBR,2018,60.921100116767136,39625.9863
IDN,1990,6.437117777611694,4478.835242
IDN,1991,6.851239602525234,4811.453851
IDN,1992,6.760691753187981,5054.719634
IDN,1993,7.756029789411713,5381.636936999999
IDN,1994,8.228199297480197,5707.646959000001
IDN,1995,7.923241157649379,6091.693167
IDN,1996,8.41699279526188,6477.420084
IDN,1997,8.300325823576745,6688.383227
IDN,1998,6.717197147518434,5730.335209000001
IDN,1999,6.318015948112237,5696.069001
